no,pr,days
43,1,42
42,2,14
41,6,26
40,9,54
39,10,28
38,13,6
37,14,18
36,16,19
35,17,25
34,18,40
33,19,7
32,22,42
31,23,13
30,25,2
29,26,146
28,27,12
27,28,31
26,30,50
25,34,20
24,35,6
23,38,23
22,40,9
21,42,25
20,43,6
19,43,26
18,45,14
17,49,23
16,53,3
15,54,13
14,56,27
13,57,14
12,58,7
11,61,2
10,64,6
9,65,18
8,70,27
7,71,31
6,73,33
5,77,36
4,78,47
3,81,2
2,85,25
1,88,25
