no,pr,days
1,1,42
2,2,14
3,6,26
4,9,54
5,10,28
6,13,6
7,14,18
8,16,19
9,17,25
10,18,40
11,19,7
12,22,42
13,23,13
14,25,2
15,26,146
16,27,12
17,28,31
18,30,50
19,34,20
20,35,6
21,38,23
22,40,9
23,42,25
24,43,6
25,43,26
26,45,14
27,49,23
28,53,3
29,54,13
30,56,27
31,57,14
32,58,7
33,61,2
34,64,6
35,65,18
36,70,27
37,71,31
38,73,33
39,77,36
40,78,47
41,81,2
42,85,25
43,88,25
